coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,snow
"{'lon': -176.5597, 'lat': -43.9535}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 13.23, 'feels_like': 13.01, 'temp_min': 12.12, 'temp_max': 13.23, 'pressure': 1015, 'humidity': 92}",10000.0,"{'speed': 2.68, 'deg': 207, 'gust': 4.92}",{'all': 93},1710685300,"{'type': 2, 'id': 2040615, 'country': 'NZ', 'sunrise': 1710784032, 'sunset': 1710828056}",49500,4032804,Waitangi,200,,
"{'lon': -72.4875, 'lat': -51.7236}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 3.25, 'feels_like': -3.09, 'temp_min': 3.25, 'temp_max': 3.25, 'pressure': 998, 'humidity': 87}",10000.0,"{'speed': 11.32, 'deg': 300, 'gust': 16.46}",{'all': 75},1710685300,"{'type': 1, 'id': 8495, 'country': 'CL', 'sunrise': 1710672435, 'sunset': 1710716945}",-10800,3874958,Puerto Natales,200,{'1h': 0.39},
"{'lon': -110.2167, 'lat': 23.45}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 14.13, 'feels_like': 13.87, 'temp_min': 14.13, 'temp_max': 16.28, 'pressure': 1014, 'humidity': 87, 'sea_level': 1014, 'grnd_level': 990}",10000.0,"{'speed': 1.82, 'deg': 12, 'gust': 2.05}",{'all': 28},1710685301,"{'type': 2, 'id': 2004498, 'country': 'MX', 'sunrise': 1710682036, 'sunset': 1710725451}",-25200,3981432,Todos Santos,200,,
"{'lon': 22.7333, 'lat': 37.6333}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 16.55, 'feels_like': 15.93, 'temp_min': 16.55, 'temp_max': 16.55, 'pressure': 1018, 'humidity': 64, 'sea_level': 1018, 'grnd_level': 992}",10000.0,"{'speed': 1.52, 'deg': 122, 'gust': 2.1}",{'all': 100},1710685301,"{'type': 2, 'id': 2002027, 'country': 'GR', 'sunrise': 1710650212, 'sunset': 1710693472}",7200,264670,Argos,200,,
"{'lon': -73.414, 'lat': 41.3712}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 10.5, 'feels_like': 9.17, 'temp_min': 9.03, 'temp_max': 11.78, 'pressure': 999, 'humidity': 60}",10000.0,"{'speed': 4.12, 'deg': 270}",{'all': 100},1710685041,"{'type': 2, 'id': 2004826, 'country': 'US', 'sunrise': 1710673278, 'sunset': 1710716547}",-14400,5282297,Bethel,200,,
"{'lon': -98.2926, 'lat': 49.9728}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': -8.95, 'feels_like': -15.95, 'temp_min': -8.95, 'temp_max': -8.83, 'pressure': 1030, 'humidity': 55, 'sea_level': 1030, 'grnd_level': 996}",10000.0,"{'speed': 6.33, 'deg': 354, 'gust': 8.59}",{'all': 85},1710685301,"{'type': 2, 'id': 2019941, 'country': 'CA', 'sunrise': 1710679277, 'sunset': 1710722487}",-18000,6111529,Portage la Prairie,200,,
"{'lon': -68.3, 'lat': -54.8}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 3.81, 'feels_like': -0.69, 'temp_min': 3.81, 'temp_max': 3.81, 'pressure': 986, 'humidity': 70}",10000.0,"{'speed': 6.17, 'deg': 260}",{'all': 75},1710685200,"{'type': 1, 'id': 8303, 'country': 'AR', 'sunrise': 1710671365, 'sunset': 1710716005}",-10800,3833367,Ushuaia,200,{'1h': 0.24},
"{'lon': -36.5092, 'lat': -54.2811}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 4.56, 'feels_like': 4.56, 'temp_min': 4.56, 'temp_max': 4.56, 'pressure': 986, 'humidity': 68, 'sea_level': 986, 'grnd_level': 982}",10000.0,"{'speed': 0.52, 'deg': 181, 'gust': 1.48}",{'all': 1},1710685301,"{'country': 'GS', 'sunrise': 1710663737, 'sunset': 1710708377}",-7200,3426466,Grytviken,200,,
"{'lon': 23.6821, 'lat': 70.6634}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",stations,"{'temp': -3.75, 'feels_like': -10.01, 'temp_min': -3.75, 'temp_max': -3.75, 'pressure': 1015, 'humidity': 54}",10000.0,"{'speed': 5.66, 'deg': 270}",{'all': 40},1710685301,"{'type': 1, 'id': 1632, 'country': 'NO', 'sunrise': 1710650233, 'sunset': 1710692996}",3600,779683,Hammerfest,200,,{'1h': 0.13}
"{'lon': 139.5, 'lat': -20.7333}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 27.87, 'feels_like': 28.66, 'temp_min': 27.87, 'temp_max': 27.87, 'pressure': 1008, 'humidity': 54}",10000.0,"{'speed': 4.12, 'deg': 70}",{'all': 100},1710685042,"{'type': 1, 'id': 9495, 'country': 'AU', 'sunrise': 1710708308, 'sunset': 1710752103}",36000,2065594,Mount Isa,200,{'1h': 0.13},
"{'lon': -79.2353, 'lat': 42.097}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 4.34, 'feels_like': 0.34, 'temp_min': 2.51, 'temp_max': 5.57, 'pressure': 1003, 'humidity': 70}",10000.0,"{'speed': 5.36, 'deg': 273, 'gust': 7.15}",{'all': 40},1710685301,"{'type': 2, 'id': 2008828, 'country': 'US', 'sunrise': 1710674676, 'sunset': 1710717942}",-14400,5122534,Jamestown,200,,
"{'lon': 18.3353, 'lat': 13.2154}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 40.35, 'feels_like': 36.85, 'temp_min': 40.35, 'temp_max': 40.35, 'pressure': 1004, 'humidity': 7, 'sea_level': 1004, 'grnd_level': 968}",10000.0,"{'speed': 3.64, 'deg': 310, 'gust': 2.97}",{'all': 92},1710685302,"{'country': 'TD', 'sunrise': 1710651160, 'sunset': 1710694635}",3600,2436400,Ati,200,,
"{'lon': -147.5333, 'lat': 64.8}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': -12.85, 'feels_like': -18.35, 'temp_min': -13.86, 'temp_max': -12.07, 'pressure': 1007, 'humidity': 74}",10000.0,"{'speed': 2.57, 'deg': 350}",{'all': 100},1710685302,"{'type': 1, 'id': 7684, 'country': 'US', 'sunrise': 1710691145, 'sunset': 1710734249}",-28800,5879898,Badger,200,,
"{'lon': 5.6325, 'lat': -1.4014}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 29.44, 'feels_like': 34.58, 'temp_min': 29.44, 'temp_max': 29.44, 'pressure': 1008, 'humidity': 74, 'sea_level': 1008, 'grnd_level': 1008}",10000.0,"{'speed': 3.92, 'deg': 182, 'gust': 4.03}",{'all': 89},1710685042,"{'country': 'GQ', 'sunrise': 1710654139, 'sunset': 1710697752}",3600,2306774,San Antonio de Palé,200,,
"{'lon': 59.1348, 'lat': 53.2973}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': -2.44, 'feels_like': -2.44, 'temp_min': -2.44, 'temp_max': -2.44, 'pressure': 1030, 'humidity': 85, 'sea_level': 1030, 'grnd_level': 982}",10000.0,"{'speed': 1.33, 'deg': 198, 'gust': 1.27}",{'all': 35},1710685042,"{'type': 1, 'id': 8976, 'country': 'RU', 'sunrise': 1710641573, 'sunset': 1710684642}",18000,584051,Agapovka,200,,
"{'lon': -127.1743, 'lat': 54.7804}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': -2.82, 'feels_like': -2.82, 'temp_min': -2.82, 'temp_max': -2.82, 'pressure': 1018, 'humidity': 100}",10000.0,"{'speed': 1.03, 'deg': 0}",{'all': 20},1710685042,"{'type': 1, 'id': 990, 'country': 'CA', 'sunrise': 1710686218, 'sunset': 1710729406}",-25200,6149996,Smithers,200,,
"{'lon': 53.087, 'lat': 67.6713}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': -8.27, 'feels_like': -14.85, 'temp_min': -8.27, 'temp_max': -8.27, 'pressure': 1008, 'humidity': 92}",10000.0,"{'speed': 4.47, 'deg': 331, 'gust': 8.49}",{'all': 91},1710685042,"{'type': 2, 'id': 2087988, 'country': 'RU', 'sunrise': 1710643154, 'sunset': 1710685963}",10800,523392,Naryan-Mar,200,,
"{'lon': -95.4094, 'lat': 32.5157}","[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",stations,"{'temp': 14.28, 'feels_like': 14.27, 'temp_min': 13.72, 'temp_max': 14.97, 'pressure': 1014, 'humidity': 96}",3219.0,"{'speed': 3.09, 'deg': 40}",{'all': 100},1710685042,"{'type': 1, 'id': 6097, 'country': 'US', 'sunrise': 1710678517, 'sunset': 1710721863}",-18000,4706386,Lindale,200,,
"{'lon': -114.3525, 'lat': 62.456}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': -8.68, 'feels_like': -15.68, 'temp_min': -10.95, 'temp_max': -8.66, 'pressure': 1020, 'humidity': 73}",10000.0,"{'speed': 6.17, 'deg': 130, 'gust': 9.26}",{'all': 75},1710685043,"{'type': 2, 'id': 2041581, 'country': 'CA', 'sunrise': 1710683187, 'sunset': 1710726284}",-21600,6185377,Yellowknife,200,,
"{'lon': -70.9167, 'lat': -53.15}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 6.06, 'feels_like': 0.34, 'temp_min': 5.62, 'temp_max': 6.06, 'pressure': 993, 'humidity': 61}",10000.0,"{'speed': 12.86, 'deg': 270}",{'all': 75},1710684976,"{'type': 1, 'id': 8487, 'country': 'CL', 'sunrise': 1710672030, 'sunset': 1710716597}",-10800,3874787,Punta Arenas,200,,
"{'lon': -23.124, 'lat': 66.0755}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",stations,"{'temp': -7.7, 'feels_like': -14.7, 'temp_min': -7.7, 'temp_max': -7.7, 'pressure': 1000, 'humidity': 93, 'sea_level': 1000, 'grnd_level': 968}",524.0,"{'speed': 18.3, 'deg': 37, 'gust': 22.28}",{'all': 100},1710685043,"{'country': 'IS', 'sunrise': 1710661375, 'sunset': 1710704316}",0,3415667,Isafjordur,200,,{'1h': 0.13}
"{'lon': 128.8694, 'lat': 71.6872}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': -28.03, 'feels_like': -35.03, 'temp_min': -28.03, 'temp_max': -28.03, 'pressure': 1021, 'humidity': 97, 'sea_level': 1021, 'grnd_level': 1015}",10000.0,"{'speed': 3.07, 'deg': 232, 'gust': 2.91}",{'all': 50},1710685043,"{'country': 'RU', 'sunrise': 1710625094, 'sunset': 1710667655}",32400,2015306,Tiksi,200,,
"{'lon': -68.5145, 'lat': 63.7506}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': -20.73, 'feels_like': -20.73, 'temp_min': -21.15, 'temp_max': -20.73, 'pressure': 1021, 'humidity': 76}",10000.0,"{'speed': 0, 'deg': 0}",{'all': 75},1710685043,"{'type': 2, 'id': 47658, 'country': 'CA', 'sunrise': 1710672221, 'sunset': 1710715253}",-14400,5983720,Iqaluit,200,,
"{'lon': 114.6, 'lat': -28.7667}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 22.23, 'feels_like': 22.55, 'temp_min': 22.23, 'temp_max': 22.23, 'pressure': 1010, 'humidity': 78}",10000.0,"{'speed': 6.69, 'deg': 180}",{'all': 75},1710685302,"{'type': 1, 'id': 9522, 'country': 'AU', 'sunrise': 1710627800, 'sunset': 1710671797}",28800,2070998,Geraldton,200,{'1h': 0.15},
"{'lon': -106.5167, 'lat': 30.6167}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 10.53, 'feels_like': 8.66, 'temp_min': 10.53, 'temp_max': 10.53, 'pressure': 1015, 'humidity': 39, 'sea_level': 1015, 'grnd_level': 878}",10000.0,"{'speed': 1.44, 'deg': 40, 'gust': 1.19}",{'all': 34},1710685043,"{'country': 'MX', 'sunrise': 1710681174, 'sunset': 1710724537}",-21600,3980207,Miguel Ahumada,200,,
"{'lon': -73.8203, 'lat': -41.8697}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 12.55, 'feels_like': 11.71, 'temp_min': 12.55, 'temp_max': 12.55, 'pressure': 1016, 'humidity': 71, 'sea_level': 1016, 'grnd_level': 1010}",10000.0,"{'speed': 2.08, 'deg': 289, 'gust': 3.84}",{'all': 100},1710685303,"{'country': 'CL', 'sunrise': 1710672907, 'sunset': 1710717113}",-10800,3899695,Ancud,200,{'1h': 0.13},
"{'lon': 177.4833, 'lat': 64.75}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': -19.72, 'feels_like': -26.72, 'temp_min': -19.72, 'temp_max': -19.72, 'pressure': 1028, 'humidity': 84}",10000.0,"{'speed': 3, 'deg': 300}",{'all': 0},1710685088,"{'type': 1, 'id': 8872, 'country': 'RU', 'sunrise': 1710699520, 'sunset': 1710742663}",43200,2127202,Anadyr,200,,
"{'lon': 147.3167, 'lat': -43.0167}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 12.54, 'feels_like': 12.1, 'temp_min': 12.07, 'temp_max': 14.18, 'pressure': 1015, 'humidity': 86}",10000.0,"{'speed': 0.45, 'deg': 23, 'gust': 0.45}",{'all': 0},1710685303,"{'type': 2, 'id': 2011256, 'country': 'AU', 'sunrise': 1710706247, 'sunset': 1710750413}",39600,2175527,Blackmans Bay,200,,
"{'lon': 55.6167, 'lat': -21.3667}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 29.21, 'feels_like': 35.57, 'temp_min': 29.21, 'temp_max': 29.21, 'pressure': 1016, 'humidity': 81, 'sea_level': 1016, 'grnd_level': 1000}",10000.0,"{'speed': 4.83, 'deg': 90, 'gust': 5.36}",{'all': 29},1710685303,"{'type': 1, 'id': 2127, 'country': 'RE', 'sunrise': 1710642022, 'sunset': 1710685882}",14400,6690296,Saint-Joseph,200,,
"{'lon': -124.1573, 'lat': 40.5982}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 6.72, 'feels_like': 5.32, 'temp_min': 5.51, 'temp_max': 9.25, 'pressure': 1021, 'humidity': 96}",8047.0,"{'speed': 2.06, 'deg': 140}",{'all': 100},1710685303,"{'type': 2, 'id': 2008778, 'country': 'US', 'sunrise': 1710685439, 'sunset': 1710728737}",-25200,5563839,Fortuna,200,,
"{'lon': 94.7333, 'lat': 16.7833}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 24.83, 'feels_like': 25.46, 'temp_min': 24.83, 'temp_max': 24.83, 'pressure': 1011, 'humidity': 80, 'sea_level': 1011, 'grnd_level': 1010}",10000.0,"{'speed': 2.84, 'deg': 264, 'gust': 5.99}",{'all': 49},1710685303,"{'country': 'MM', 'sunrise': 1710632850, 'sunset': 1710676281}",23400,1328421,Pathein,200,,
"{'lon': -130.1015, 'lat': -25.066}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,"{'temp': 25.99, 'feels_like': 25.99, 'temp_min': 25.99, 'temp_max': 25.99, 'pressure': 1011, 'humidity': 83, 'sea_level': 1011, 'grnd_level': 1002}",10000.0,"{'speed': 3.79, 'deg': 339, 'gust': 4.62}",{'all': 33},1710685044,"{'country': 'PN', 'sunrise': 1710686579, 'sunset': 1710730450}",-28800,4030723,Adamstown,200,,
"{'lon': -12.3116, 'lat': -37.0676}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 18.54, 'feels_like': 18.72, 'temp_min': 18.54, 'temp_max': 18.54, 'pressure': 1017, 'humidity': 87, 'sea_level': 1017, 'grnd_level': 1013}",10000.0,"{'speed': 5.58, 'deg': 348, 'gust': 6.64}",{'all': 6},1710685044,"{'country': 'SH', 'sunrise': 1710658191, 'sunset': 1710702311}",0,3370726,Edinburgh of the Seven Seas,200,,
"{'lon': -20.9971, 'lat': 63.9331}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 4.47, 'feels_like': 0.37, 'temp_min': 4.47, 'temp_max': 4.47, 'pressure': 986, 'humidity': 91, 'sea_level': 986, 'grnd_level': 977}",10000.0,"{'speed': 5.65, 'deg': 33, 'gust': 9.29}",{'all': 100},1710685303,"{'type': 2, 'id': 2005664, 'country': 'IS', 'sunrise': 1710660846, 'sunset': 1710703824}",0,3413604,Selfoss,200,,
"{'lon': -28.7, 'lat': 38.5167}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 17.22, 'feels_like': 16.88, 'temp_min': 17.22, 'temp_max': 17.65, 'pressure': 1019, 'humidity': 72}",10000.0,"{'speed': 8.94, 'deg': 256, 'gust': 12.07}",{'all': 40},1710685303,"{'type': 1, 'id': 6883, 'country': 'PT', 'sunrise': 1710662547, 'sunset': 1710705820}",-3600,3372707,Ribeira Grande,200,,
"{'lon': -53.6735, 'lat': 66.9395}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': -13.84, 'feels_like': -20.82, 'temp_min': -13.84, 'temp_max': -13.84, 'pressure': 1016, 'humidity': 85, 'sea_level': 1016, 'grnd_level': 1015}",10000.0,"{'speed': 3.57, 'deg': 34, 'gust': 4.12}",{'all': 56},1710685044,"{'country': 'GL', 'sunrise': 1710668695, 'sunset': 1710711656}",-7200,3419842,Sisimiut,200,,
"{'lon': 145.575, 'lat': 43.3236}","[{'id': 601, 'main': 'Snow', 'description': 'snow', 'icon': '13n'}]",stations,"{'temp': 0.73, 'feels_like': -6.27, 'temp_min': 0.73, 'temp_max': 0.73, 'pressure': 993, 'humidity': 98, 'sea_level': 993, 'grnd_level': 992}",93.0,"{'speed': 13.33, 'deg': 114, 'gust': 19.83}",{'all': 100},1710685044,"{'country': 'JP', 'sunrise': 1710620794, 'sunset': 1710663938}",32400,2128975,Nemuro,200,,{'1h': 0.94}
"{'lon': 166.4372, 'lat': 68.0546}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,"{'temp': -24.62, 'feels_like': -30.9, 'temp_min': -24.62, 'temp_max': -24.62, 'pressure': 1030, 'humidity': 81, 'sea_level': 1030, 'grnd_level': 990}",10000.0,"{'speed': 1.9, 'deg': 47, 'gust': 1.75}",{'all': 16},1710685304,"{'country': 'RU', 'sunrise': 1710702181, 'sunset': 1710745303}",43200,2126682,Bilibino,200,,
"{'lon': -76.2167, 'lat': -13.7}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 24.03, 'feels_like': 24.53, 'temp_min': 24.03, 'temp_max': 24.45, 'pressure': 1009, 'humidity': 78}",10000.0,"{'speed': 2.06, 'deg': 250}",{'all': 0},1710685045,"{'type': 1, 'id': 8691, 'country': 'PE', 'sunrise': 1710673716, 'sunset': 1710717454}",-18000,3932145,Pisco,200,,
"{'lon': 33.3362, 'lat': 69.2551}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': -5.87, 'feels_like': -12.87, 'temp_min': -5.87, 'temp_max': -5.87, 'pressure': 1018, 'humidity': 83, 'sea_level': 1018, 'grnd_level': 1010}",10000.0,"{'speed': 8.69, 'deg': 282, 'gust': 11.78}",{'all': 90},1710685017,"{'country': 'RU', 'sunrise': 1710647902, 'sunset': 1710690693}",10800,562245,Gadzhiyevo,200,,
"{'lon': 39.4292, 'lat': 51.1578}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 5.62, 'feels_like': 4.23, 'temp_min': 5.62, 'temp_max': 5.62, 'pressure': 1019, 'humidity': 77, 'sea_level': 1019, 'grnd_level': 1003}",10000.0,"{'speed': 1.86, 'deg': 13, 'gust': 2.06}",{'all': 100},1710685045,"{'type': 2, 'id': 2088706, 'country': 'RU', 'sunrise': 1710646281, 'sunset': 1710689391}",10800,566969,Davydovka,200,,
"{'lon': -1.6985, 'lat': 54.868}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 12.31, 'feels_like': 11.92, 'temp_min': 11.4, 'temp_max': 13.49, 'pressure': 1008, 'humidity': 89}",10000.0,"{'speed': 3.6, 'deg': 190}",{'all': 75},1710685107,"{'type': 2, 'id': 2002060, 'country': 'GB', 'sunrise': 1710656158, 'sunset': 1710699251}",0,8224783,Stanley,200,,
"{'lon': -35.2094, 'lat': -5.795}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 33.12, 'feels_like': 40.12, 'temp_min': 31.36, 'temp_max': 33.12, 'pressure': 1011, 'humidity': 62}",10000.0,"{'speed': 5.66, 'deg': 160}",{'all': 40},1710685304,"{'type': 1, 'id': 8417, 'country': 'BR', 'sunrise': 1710663917, 'sunset': 1710707573}",-10800,3394023,Natal,200,,
"{'lon': -90.3518, 'lat': -0.7393}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 29.98, 'feels_like': 36.98, 'temp_min': 29.98, 'temp_max': 29.98, 'pressure': 1009, 'humidity': 80, 'sea_level': 1009, 'grnd_level': 1003}",10000.0,"{'speed': 0.84, 'deg': 52, 'gust': 0.81}",{'all': 33},1710685304,"{'type': 1, 'id': 8521, 'country': 'EC', 'sunrise': 1710677174, 'sunset': 1710720779}",-21600,3652764,Puerto Ayora,200,{'1h': 0.75},
